ticker,name,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
harp,Harpoon Therapeutics Inc,Biotechnology,BBB,High,BB,Medium,BB,Medium,485,300,310,1095,2022-06-10,BBB,High,1708493
hayn,Haynes International Inc,Metals and Mining,A,High,BB,Medium,BB,Medium,500,301,300,1101,2022-04-17,BBB,High,858655
pnbk,Patriot National Bancorp Inc,Banking,B,Medium,BB,Medium,B,Medium,205,302,210,717,2022-04-18,B,Medium,1098146
hcdi,Harbor Custom Development Inc,Consumer products,B,Medium,B,Medium,B,Medium,222,221,208,651,2022-06-10,B,Medium,1784567
hcci,Heritage-Crystal Clean Inc,Commercial Services and Supplies,A,High,BBB,High,BB,Medium,525,400,300,1225,2022-04-17,A,High,1403431
pnfp,Pinnacle Financial Partners Inc,Banking,B,Medium,BB,Medium,B,Medium,271,328,250,849,2022-11-08,BB,Medium,1115055
pnt,POINT Biopharma Global Inc,Biotechnology,BB,Medium,B,Medium,B,Medium,320,221,285,826,2022-06-11,BB,Medium,1811764
poai,Predictive Oncology Inc,Health Care,B,Medium,B,Medium,B,Medium,278,297,220,795,2022-06-10,BB,Medium,1446159
pola,Polar Power Inc,Electrical Equipment,B,Medium,B,Medium,B,Medium,200,200,200,600,2022-06-05,B,Medium,1622345
podd,Insulet Corp,Health Care,B,Medium,B,Medium,B,Medium,215,233,205,653,2022-11-07,B,Medium,1145197
powi,Power Integrations Inc,Semiconductors,A,High,B,Medium,BB,Medium,575,285,305,1165,2022-11-08,BBB,High,833640
poww,Ammo Inc,Leisure Products,B,Medium,B,Medium,B,Medium,233,224,200,657,2022-08-02,B,Medium,1015383
pnrg,Primeenergy Resources Corp,Energy,B,Medium,B,Medium,B,Medium,200,200,260,660,2022-11-08,B,Medium,56868
pntg,Pennant Group Inc,Health Care,B,Medium,BB,Medium,B,Medium,245,306,200,751,2022-06-10,BB,Medium,1766400
ppbi,Pacific Premier Bancorp Inc,Banking,A,High,BB,Medium,BB,Medium,565,328,315,1208,2022-11-08,A,High,1028918
ppih,Perma-Pipe International Holdings Inc,Machinery,A,High,B,Medium,BB,Medium,500,260,300,1060,2022-06-10,BBB,High,914122
ppc,Pilgrims Pride Corp,Food Products,A,High,BB,Medium,B,Medium,500,302,220,1022,2022-11-08,BBB,High,802481
praa,PRA Group Inc,Financial Services,BBB,High,BB,Medium,BB,Medium,473,321,310,1104,2022-11-08,BBB,High,1185348
ppsi,Pioneer Power Solutions Inc,Electrical Equipment,B,Medium,BB,Medium,BB,Medium,299,305,315,919,2022-11-08,BBB,High,1449792
prax,Praxis Precision Medicines Inc,Biotechnology,B,Medium,B,Medium,B,Medium,200,215,215,630,2022-06-10,B,Medium,1689548
prct,Procept Biorobotics Corp,Health Care,B,Medium,B,Medium,BB,Medium,200,224,300,724,2022-06-11,B,Medium,1588978
prch,Porch Group Inc,Retail,B,Medium,B,Medium,B,Medium,225,227,215,667,2022-06-10,B,Medium,1784535
pre,Artisan Acquisition Corp,Healthcare,B,Medium,B,Medium,B,Medium,245,203,265,713,2022-04-22,B,Medium,1876431
prdo,Perdoceo Education Corp,Diversified Consumer Services,BB,Medium,B,Medium,B,Medium,365,297,250,912,2022-06-10,BBB,High,1046568
sisi,Shineco Inc,Consumer products,BB,Medium,BB,Medium,BB,Medium,340,346,305,991,2022-06-11,BBB,High,1300734
sitm,SiTime Corp,Semiconductors,A,High,BB,Medium,BB,Medium,505,304,300,1109,2022-06-10,BBB,High,1451809
siri,Sirius XM Holdings Inc,Media,B,Medium,BB,Medium,B,Medium,240,302,205,747,2022-11-08,B,Medium,908937
sj,Scienjoy Holding Corp,Media,B,Medium,BB,Medium,B,Medium,260,320,240,820,2022-06-10,BB,Medium,1753673
pow,Powered Brands,Unknown,B,Medium,B,Medium,B,Medium,235,231,250,716,2022-04-20,B,Medium,1829427
powl,Powell Industries Inc,Electrical Equipment,A,High,B,Medium,B,Medium,500,240,215,955,2022-11-08,BBB,High,80420
upwk,Upwork Inc,Professional Services,B,Medium,B,Medium,B,Medium,275,264,278,817,2022-06-10,BB,Medium,1627475
usak,USA Truck Inc,Road and Rail,A,High,BB,Medium,BB,Medium,532,311,303,1146,2022-11-08,BBB,High,883945
usau,US Gold Corp,Metals and Mining,BBB,High,B,Medium,BB,Medium,400,240,300,940,2022-06-10,BBB,High,27093
usap,Universal Stainless & Alloy Products Inc,Metals and Mining,B,Medium,B,Medium,B,Medium,238,231,200,669,2022-11-08,B,Medium,931584
useg,US Energy Corp,Energy,BBB,High,B,Medium,BB,Medium,438,265,315,1018,2022-11-08,BBB,High,101594
usio,Usio Inc,Technology,B,Medium,B,Medium,B,Medium,285,245,240,770,2022-06-10,BB,Medium,1088034
uthr,United Therapeutics Corp,Biotechnology,B,Medium,B,Medium,BB,Medium,233,259,300,792,2022-11-08,BB,Medium,1082554
urgn,Urogen Pharma Ltd,Biotechnology,B,Medium,B,Medium,B,Medium,210,251,290,751,2022-06-10,BB,Medium,1668243
urbn,Urban Outfitters Inc,Retail,BB,Medium,BB,Medium,BB,Medium,335,300,300,935,2022-11-08,BBB,High,912615
utme,Utime Ltd,Electrical Equipment,B,Medium,B,Medium,B,Medium,217,200,200,617,2022-06-10,B,Medium,1789299
utrs,Minerva Surgical Inc,Health Care,B,Medium,B,Medium,B,Medium,205,201,210,616,2022-06-11,B,Medium,1452965
utsi,UTStarcom Holdings Corp,Communications,BB,Medium,BB,Medium,BB,Medium,340,310,365,1015,2022-11-08,BBB,High,1030471
uxin,Uxin Ltd,Retail,B,Medium,B,Medium,B,Medium,203,202,225,630,2022-06-10,B,Medium,1729173
uvsp,Univest Financial Corp,Banking,BB,Medium,BB,Medium,BB,Medium,331,322,305,958,2022-11-08,BBB,High,102212
cmcm,Cheetah Mobile Inc,Technology,B,Medium,B,Medium,B,Medium,205,214,215,634,2022-11-07,B,Medium,1597835
cmc,Commercial Metals Co,Metals and Mining,B,Medium,B,Medium,B,Medium,223,212,200,635,2022-11-07,B,Medium,22444
uslm,United States Lime & Minerals Inc,Construction,A,High,B,Medium,BB,Medium,500,233,300,1033,2022-11-08,BBB,High,82020
utmd,Utah Medical Products Inc,Health Care,B,Medium,B,Medium,B,Medium,240,236,250,726,2022-11-08,B,Medium,706698
cmp,Compass Minerals International Inc,Metals and Mining,A,High,BB,Medium,BB,Medium,505,302,320,1127,2022-11-07,BBB,High,1227654
cnd,Concord Acquisition Corp,Unknown,B,Medium,B,Medium,BB,Medium,205,257,300,762,2022-11-12,BB,Medium,1824301
cnf,CNFinance Holdings Ltd,Financial Services,B,Medium,B,Medium,B,Medium,200,200,220,620,2022-06-10,B,Medium,1733868
cnmd,Conmed Corp,Health Care,BBB,High,BB,Medium,B,Medium,441,300,270,1011,2022-11-07,BBB,High,816956
cnk,Cinemark Holdings Inc,Media,BB,Medium,BB,Medium,BB,Medium,330,300,300,930,2022-11-07,BBB,High,1385280
cnne,Cannae Holdings Inc,Financial Services,B,Medium,B,Medium,B,Medium,215,203,203,621,2022-06-10,B,Medium,1704720
cno,CNO Financial Group Inc,Insurance,A,High,BB,Medium,BB,Medium,500,322,315,1137,2022-11-07,BBB,High,1224608
cna,CNA Financial Corp,Insurance,A,High,BB,Medium,BB,Medium,540,329,340,1209,2022-11-07,A,High,21175
cmre,Costamare Inc,Marine,B,Medium,B,Medium,B,Medium,242,204,200,646,2022-11-07,B,Medium,1503584
gva,Granite Construction Inc,Construction,B,Medium,B,Medium,B,Medium,200,200,200,600,2022-11-07,B,Medium,861459
fn,Fabrinet,Electrical Equipment,A,High,B,Medium,B,Medium,510,209,210,929,2022-11-07,BBB,High,1408710
h,Hyatt Hotels Corp,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,235,209,205,649,2022-11-07,B,Medium,1468174
hasi,Hannon Armstrong Sustainable Infrastructure Capital Inc,Real Estate,AA,Excellent,BBB,High,BB,Medium,646,404,313,1363,2022-11-07,A,High,1561894
hayw,Hayward Holdings Inc,Building,A,High,BB,Medium,BB,Medium,535,305,300,1140,2022-11-15,BBB,High,1834622
hbb,Hamilton Beach Brands Holding Co,Consumer products,B,Medium,B,Medium,B,Medium,245,272,230,747,2022-11-15,B,Medium,1709164
hcc,Warrior Met Coal Inc,Metals and Mining,B,Medium,B,Medium,B,Medium,215,200,200,615,2022-11-09,B,Medium,1691303
hci,Hci Group Inc,Insurance,B,Medium,B,Medium,BB,Medium,205,260,300,765,2022-11-07,BB,Medium,1400810
he,Hawaiian Electric Industries Inc,Utilities,A,High,BB,Medium,BB,Medium,585,348,310,1243,2022-11-07,A,High,354707
gwre,Guidewire Software Inc,Technology,A,High,BB,Medium,BB,Medium,549,321,330,1200,2022-11-07,A,High,1528396
hae,Haemonetics Corp,Health Care,BBB,High,BB,Medium,BB,Medium,448,303,305,1056,2022-11-07,BBB,High,313143
hep,Holly Energy Partners LP,Energy,A,High,B,Medium,B,Medium,511,225,215,951,2022-11-07,BBB,High,1283140
hgv,Hilton Grand Vacations Inc,Hotels Restaurants and Leisure,BB,Medium,B,Medium,B,Medium,305,288,250,843,2022-11-15,BB,Medium,1674168
hi,Hillenbrand Inc,Machinery,BBB,High,BB,Medium,BB,Medium,489,349,300,1138,2022-11-07,BBB,High,1417398
hhc,Howard Hughes Corp,Real Estate,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-11-07,BBB,High,1498828
hubs,HubSpot Inc,Technology,BBB,High,BB,Medium,BB,Medium,480,329,320,1129,2022-11-07,BBB,High,1404655
hesm,Hess Midstream LP,Energy,BB,Medium,B,Medium,B,Medium,307,257,255,819,2022-11-15,BB,Medium,1789832
hei,HEICO Corp,Aerospace and Defense,B,Medium,B,Medium,B,Medium,225,203,205,633,2022-11-07,B,Medium,46619
